relative_path,filename,extension,size_bytes,kind,family
firmware/v1/carto-rp2040.uf2,carto-rp2040.uf2,.uf2,37888,firmware_binary,v1
firmware/v2-v3/Cartographer_CAN_1000000_8kib_offset.bin,Cartographer_CAN_1000000_8kib_offset.bin,.bin,18196,firmware_binary,v2-v3
firmware/v2-v3/Cartographer_CAN_250000_8kib_offset.bin,Cartographer_CAN_250000_8kib_offset.bin,.bin,15308,firmware_binary,v2-v3
firmware/v2-v3/Cartographer_CAN_500000_8kib_offset.bin,Cartographer_CAN_500000_8kib_offset.bin,.bin,15308,firmware_binary,v2-v3
firmware/v2-v3/Cartographer_USB_4_0_0_8kib_offset.bin,Cartographer_USB_4_0_0_8kib_offset.bin,.bin,18552,firmware_binary,v2-v3
firmware/v2-v3/Katapult_1m.bin,Katapult_1m.bin,.bin,8192,firmware_binary,v2-v3
firmware/v2-v3/Katapult_250k.bin,Katapult_250k.bin,.bin,4644,firmware_binary,v2-v3
firmware/v2-v3/Katapult_500k.bin,Katapult_500k.bin,.bin,4644,firmware_binary,v2-v3
firmware/v2-v3/Katapult_USB.bin,Katapult_USB.bin,.bin,4640,firmware_binary,v2-v3
firmware/v2-v3/README.md,README.md,.md,385,other,v2-v3
firmware/v2-v3/archive/Firmware v3 (3.0.0 badly named)/Cartographer_CAN_1000000_8kib_offset.bin,Cartographer_CAN_1000000_8kib_offset.bin,.bin,15312,firmware_binary,v2-v3
firmware/v2-v3/archive/Firmware v3 (3.0.0 badly named)/Cartographer_CAN_250000_8kib_offset.bin,Cartographer_CAN_250000_8kib_offset.bin,.bin,15308,firmware_binary,v2-v3
firmware/v2-v3/archive/Firmware v3 (3.0.0 badly named)/Cartographer_CAN_500000_8kib_offset.bin,Cartographer_CAN_500000_8kib_offset.bin,.bin,15308,firmware_binary,v2-v3
firmware/v2-v3/archive/Firmware v3 (3.0.0 badly named)/Cartographer_USB_v3_8kib_offset.bin,Cartographer_USB_v3_8kib_offset.bin,.bin,15632,firmware_binary,v2-v3
firmware/v2-v3/archive/Firmware v3 (3.0.0 badly named)/Full_Cartographer_CAN_1M_v3-UPDATED.bin,Full_Cartographer_CAN_1M_v3-UPDATED.bin,.bin,23504,firmware_binary,v2-v3
